student,overall_placement_scale_score,scale_score,no_number_and_operations,alg_algebra_and_algebraic_thinking,ms_measurement_and_data,geo_geometry,typical_growth,stretch_growth,diagnostic_date,attendance_rate,tardies_ytd,behavior_incidents_ytd,positive_behavior_points,engagement_rating_1_5,at_risk_behavior_flag
"REYES, Genesis",Emerging K (170),170,Emerging K,Emerging K,Emerging K,Mid K,23,30,05/14/26,89.9,11,0,38,1,No
"ADAMS, Grace",Late K (395),395,Early Grade 1,Late K,Early K,Mid K,42,60,03/09/26,94.6,16,0,5,3,No
"JONES, Nora",Mid Grade 1 (442),442,Late Grade 1,Grade 2,Emerging Grade 1,Late Grade 1,22,36,06/20/26,94.3,6,0,4,1,No
"DELGADO, Victoria",Grade 7 (588),588,Grade 5,Grade 8,Grade 7,Grade 8,40,56,02/12/26,93.7,9,1,43,4,No
"VASQUEZ, Caroline",Early Grade 1 (428),428,Emerging Grade 1,Mid Grade 1,Mid Grade 1,Early Grade 1,40,52,06/11/26,94.5,4,0,2,5,No
"VARGAS, Ellie",Emerging K (245),245,Mid K,Early K,Emerging K,Mid K,35,52,06/15/26,89.6,12,2,34,3,No
"LEE, Andrew",Grade 4 (533),533,Grade 4,Grade 3,Grade 3,Grade 6,35,42,01/28/26,97.9,9,1,27,4,No
"ANDERSON, Hazel",Mid Grade 1 (455),455,Grade 2,Mid Grade 1,Grade 2,Emerging Grade 1,41,49,06/18/26,92.2,3,0,18,3,No
"GARCIA, Anthony",Grade 6 (569),569,Grade 8,Grade 5,Grade 8,Grade 4,40,54,06/17/26,94.5,5,1,34,5,No
"GARCIA, Skylar",Mid Grade 1 (456),456,Emerging Grade 1,Emerging Grade 1,Mid Grade 1,Mid Grade 1,27,33,02/19/26,93.4,8,1,4,5,No
"CRUZ, Asher",Early K (351),351,Early K,Mid K,Late K,Early K,37,48,06/10/26,85.6,13,0,33,4,No
"ROJAS, Riley",Emerging K (105),105,Mid K,Mid K,Emerging K,Mid K,27,32,01/23/26,87.1,9,3,21,2,Yes
"CONTRERAS, Samuel",Late Grade 1 (467),467,Grade 3,Mid Grade 1,Grade 3,Grade 3,35,47,04/26/26,91.7,9,1,22,3,No
"PEREZ, Audrey",Late Grade 1 (464),464,Early Grade 1,Grade 2,Late Grade 1,Early Grade 1,27,38,02/18/26,89.8,9,0,15,5,No
"WHITE, Isabella",Grade 3 (518),518,Late Grade 1,Late Grade 1,Grade 5,Late Grade 1,22,34,02/14/26,91.9,7,0,3,2,No
"TAYLOR, Aiden",Mid K (370),370,Mid K,Late K,Emerging Grade 1,Late K,24,35,03/07/26,93.7,9,1,47,3,No
"MITCHELL, Mateo",Emerging Grade 1 (417),417,Late K,Mid K,Mid Grade 1,Mid K,25,32,05/03/26,90.0,7,0,36,3,No
"GONZALEZ, Thomas",Mid Grade 1 (454),454,Grade 2,Grade 2,Grade 2,Mid Grade 1,28,39,06/23/26,91.3,10,0,41,3,No
"TORRES, David",Emerging K (259),259,Mid K,Emerging K,Emerging K,Mid K,26,39,02/12/26,93.1,6,0,10,3,No
"NUNEZ, Lucy",Mid Grade 1 (457),457,Emerging Grade 1,Grade 2,Mid Grade 1,Emerging Grade 1,24,37,01/04/26,92.1,6,0,13,4,No
"AGUILAR, Jack",Emerging Grade 1 (409),409,Mid K,Mid K,Early Grade 1,Emerging Grade 1,21,26,03/25/26,96.7,15,0,28,4,No
"HILL, Theodore",Emerging K (119),119,Mid K,Emerging K,Mid K,Emerging K,31,40,04/05/26,91.4,11,4,2,5,Yes
"MENDOZA, Jack",Late Grade 1 (472),472,Grade 3,Grade 2,Grade 3,Mid Grade 1,27,37,02/14/26,97.6,9,0,26,5,No
"MENDOZA, Adrian",Mid K (378),378,Emerging K,Late K,Emerging K,Late K,27,38,04/12/26,88.0,15,0,1,4,No
"WILLIAMS, Ellie",Mid K (358),358,Mid K,Mid K,Emerging Grade 1,Late K,41,56,01/04/26,91.5,8,1,16,1,No
"THOMPSON, Thomas",Late K (391),391,Emerging Grade 1,Early Grade 1,Early Grade 1,Early K,32,43,03/02/26,90.4,9,4,34,4,Yes
"ROMERO, Adrian",Late K (383),383,Late K,Early Grade 1,Late K,Early K,43,57,05/10/26,89.1,7,2,35,2,No
"ANDERSON, Violet",Late Grade 1 (466),466,Grade 3,Grade 3,Late Grade 1,Grade 2,37,42,03/10/26,94.1,13,1,20,4,No
"MUNOZ, Gabriel",Early Grade 1 (426),426,Late K,Early Grade 1,Late Grade 1,Late Grade 1,30,37,02/22/26,89.6,14,0,2,3,No
"EVANS, Dylan",Grade 3 (503),503,Grade 4,Grade 4,Grade 5,Grade 2,42,59,04/13/26,94.2,11,0,48,5,No
"LEE, Amelia",Early K (354),354,Late K,Emerging K,Early K,Emerging K,34,43,04/22/26,85.4,9,0,48,5,No
"KING, Joshua",Emerging Grade 1 (418),418,Early Grade 1,Late K,Early Grade 1,Early Grade 1,28,40,06/09/26,91.4,5,1,17,3,No
"ESTRADA, Willow",Mid K (366),366,Mid K,Emerging Grade 1,Emerging K,Early K,24,36,04/23/26,91.0,12,0,21,4,No
"SANCHEZ, Violet",Early K (347),347,Late K,Emerging K,Late K,Late K,20,36,03/25/26,84.3,14,3,34,4,Yes
"PHILLIPS, Lucy",Grade 4 (536),536,Grade 3,Grade 4,Grade 5,Grade 5,20,37,03/22/26,93.3,4,0,29,5,No
